runtime,algorithm,n,gflops_cpu,gflops_gpu,time_cpu_s,time_gpu_s,speedup
parsec,sgemm,8000,1220.4,3606,0.839,0.284,2.95
parsec,sgemm,16000,1297.3,4633.1,6.315,1.769,3.57
parsec,sgemm,24000,1295.6,5071.8,21.342,5.452,3.91
starpu,sgemm,8000,1278.8,6365.2,0.802,0.162,4.98
starpu,sgemm,16000,1370.5,11187.7,5.977,0.735,8.16
starpu,sgemm,24000,1338.8,12984.8,20.654,2.13,9.7
parsec,sgeqrf,8000,444.7,1615.2,1.536,0.424,3.63
parsec,sgeqrf,16000,899.5,2971.7,6.072,1.838,3.3
parsec,sgeqrf,24000,991.7,3172,18.587,5.811,3.2
starpu,sgeqrf,8000,532.4,984.7,1.283,0.7,1.85
starpu,sgeqrf,16000,909.2,2396.8,6.008,2.293,2.64
starpu,sgeqrf,24000,992.2,3152,18.58,5.855,3.18
parsec,spotrf,8000,432.9,1690.6,0.395,0.101,3.91
parsec,spotrf,16000,1013.2,3375.8,1.349,0.404,3.33
parsec,spotrf,24000,1130.9,4016.1,4.075,1.148,3.55
starpu,spotrf,8000,536.2,902.5,0.319,0.19,1.68
starpu,spotrf,16000,1049.7,3533.6,1.301,0.389,3.37
starpu,spotrf,24000,1190.7,5973.4,3.872,0.775,5.02
