runtime,scheduler,algorithm,n,b,threads,gpus,rep,time,gflops
starpu,dmdas,dpotrf,9600,960,16,1,1,5.265671e-01,5.601529e+02
starpu,dmdas,dpotrf,9600,960,16,1,2,5.159156e-01,5.717177e+02
starpu,dmdas,dpotrf,9600,960,16,1,3,5.178977e-01,5.695296e+02
starpu,dmdas,dpotrf,14400,960,16,1,1,1.312564e+00,7.583869e+02
starpu,dmdas,dpotrf,14400,960,16,1,2,1.292978e+00,7.698751e+02
starpu,dmdas,dpotrf,14400,960,16,1,3,1.306940e+00,7.616506e+02
starpu,dmdas,dpotrf,19200,960,16,1,1,2.842296e+00,8.301318e+02
starpu,dmdas,dpotrf,19200,960,16,1,2,2.941312e+00,8.021863e+02
starpu,dmdas,dpotrf,19200,960,16,1,3,2.894201e+00,8.152442e+02
starpu,dmdas,dgeqrf,9600,960,16,1,1,3.764932e+00,3.133742e+02
starpu,dmdas,dgeqrf,9600,960,16,1,2,3.921601e+00,3.008548e+02
starpu,dmdas,dgeqrf,9600,960,16,1,3,3.644223e+00,3.237542e+02
starpu,dmdas,dgeqrf,14400,960,16,1,1,1.092817e+01,3.643543e+02
starpu,dmdas,dgeqrf,14400,960,16,1,2,1.083875e+01,3.673604e+02
starpu,dmdas,dgeqrf,14400,960,16,1,3,1.020096e+01,3.903285e+02
starpu,dmdas,dgeqrf,19200,960,16,1,1,2.277828e+01,4.143387e+02
starpu,dmdas,dgeqrf,19200,960,16,1,2,2.255061e+01,4.185218e+02
starpu,dmdas,dgeqrf,19200,960,16,1,3,2.236668e+01,4.219634e+02
parsec,lfq,dpotrf,9600,960,16,1,1,9.626901e-01,3.063894e+02
parsec,lfq,dpotrf,9600,960,16,1,2,2.885070e+00,1.022360e+02
parsec,lfq,dpotrf,9600,960,16,1,3,1.184109e+00,2.490970e+02
parsec,lfq,dpotrf,14400,960,16,1,1,2.196614e+00,4.531664e+02
parsec,lfq,dpotrf,14400,960,16,1,2,1.810875e+00,5.496965e+02
parsec,lfq,dpotrf,14400,960,16,1,3,1.940290e+00,5.130324e+02
parsec,lfq,dpotrf,19200,960,16,1,1,3.870187e+00,6.096554e+02
parsec,lfq,dpotrf,19200,960,16,1,2,4.292409e+00,5.496867e+02
parsec,lfq,dpotrf,19200,960,16,1,3,4.065050e+00,5.804308e+02
parsec,lfq,dgeqrf,9600,960,16,1,1,5.221180e+00,2.259704e+02
parsec,lfq,dgeqrf,9600,960,16,1,2,6.724982e+00,1.754402e+02
parsec,lfq,dgeqrf,9600,960,16,1,3,5.321796e+00,2.216982e+02
parsec,lfq,dgeqrf,14400,960,16,1,1,1.322055e+01,3.011771e+02
parsec,lfq,dgeqrf,14400,960,16,1,2,1.576828e+01,2.525150e+02
parsec,lfq,dgeqrf,14400,960,16,1,3,1.415577e+01,2.812795e+02
parsec,lfq,dgeqrf,19200,960,16,1,1,3.346999e+01,2.819816e+02
parsec,lfq,dgeqrf,19200,960,16,1,2,4.311118e+01,2.189205e+02
parsec,lfq,dgeqrf,19200,960,16,1,3,3.342294e+01,2.823786e+02
