"algo","cfg","class","kernel","n","mean_ms","median_ms","sd_ms"
"dpotrf","parsec:gd","CPU","gemm",51722,6.18865237235606,4.09317700000014,3.1012478473876
"dpotrf","parsec:gd","GPU","gemm",30438,6.73255243320849,6.77877449999982,4.07046689113886
"dpotrf","parsec:lfq","CPU","gemm",47949,6.24926302358756,4.11925400000007,3.15881028747735
"dpotrf","parsec:lfq","GPU","gemm",34211,7.02833424989039,6.76271900000051,4.74653401219804
"dpotrf","starpu:dmda","CPU","gemm",47418,7.81325364399595,7.3572205,1.58220082117612
"dpotrf","starpu:dmda","GPU","gemm",34742,2.33340767932186,2.3752275,0.34321134770735
"dpotrf","starpu:dmdas","CPU","gemm",46954,7.90370472183414,7.5221745,1.52384063197212
"dpotrf","starpu:dmdas","GPU","gemm",35206,2.3600546142987,2.3583265,0.631973834272751
"dpotrf","parsec:gd","CPU","plgsy",3240,2.20426034876543,2.1881995,0.644307712858874
"dpotrf","parsec:lfq","CPU","plgsy",3240,2.24793131635802,2.16514100000002,1.08057963124968
"dpotrf","parsec:gd","CPU","potrf",43,1.41708000000002,1.08049799999967,0.526369514702695
"dpotrf","parsec:gd","GPU","potrf",37,8.8826290810812,8.84554600000009,4.97868578573357
"dpotrf","parsec:lfq","CPU","potrf",40,1.32866802500018,1.00602450000076,0.542448975858257
"dpotrf","parsec:lfq","GPU","potrf",40,9.249532675,8.38721249999851,4.54838742652113
"dpotrf","starpu:dmda","CPU","potrf",74,1.80493201351351,1.8117745,0.320398289339468
"dpotrf","starpu:dmda","GPU","potrf",6,1.9677655,1.927873,0.68832804078862
"dpotrf","starpu:dmdas","CPU","potrf",76,1.93117782894737,1.8427045,0.327801136973761
"dpotrf","starpu:dmdas","GPU","potrf",4,1.68344625,1.789904,0.4685575655679
"dpotrf","parsec:gd","CPU","syrk",1850,3.45793818702702,2.59857250000071,1.3053184911455
"dpotrf","parsec:gd","GPU","syrk",1310,6.22518076870224,6.06707049999852,3.89518591405724
"dpotrf","parsec:lfq","CPU","syrk",2233,3.45909606717421,2.55102799999993,1.41543504722423
"dpotrf","parsec:lfq","GPU","syrk",927,5.83088678748648,5.56415499999933,4.06509334901548
"dpotrf","starpu:dmda","CPU","syrk",3053,4.01867505273501,3.808695,0.644638875809606
"dpotrf","starpu:dmda","GPU","syrk",107,1.57227087850467,1.854305,0.682644282098978
"dpotrf","starpu:dmdas","CPU","syrk",3143,4.1537620944957,3.95987,0.665457588911188
"dpotrf","starpu:dmdas","GPU","syrk",17,1.52026547058824,1.645844,0.749381386108412
"dpotrf","parsec:gd","CPU","trsm",1981,3.79404940989399,2.69478999999911,1.69255599231627
"dpotrf","parsec:gd","GPU","trsm",1179,13.1711989669211,9.93000800000131,9.71759968283362
"dpotrf","parsec:lfq","CPU","trsm",1799,3.9811125936632,2.67063199999928,1.79464650592976
"dpotrf","parsec:lfq","GPU","trsm",1361,15.3414831800147,12.2077569999993,10.359943571727
"dpotrf","starpu:dmda","CPU","trsm",2821,4.39044941758242,4.547719,0.746686720048231
"dpotrf","starpu:dmda","GPU","trsm",339,7.17153818879056,3.363947,8.22863191063281
"dpotrf","starpu:dmdas","CPU","trsm",3128,4.78291514002558,4.5881295,0.790478243539771
"dpotrf","starpu:dmdas","GPU","trsm",32,16.505955625,24.791456,12.9742964710414
