"machine","regime","gpu_peak","algo_stem","runtime","cfg","n","b","gf"
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"getrf_nopiv","parsec","parsec:gd",50000,500,1074.5174
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"getrf_nopiv","parsec","parsec:lfq",40000,400,966.5414
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"getrf_nopiv","starpu","starpu:dmda",40000,400,990.18848
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"getrf_nopiv","starpu","starpu:dmdas",40000,500,998.38501
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"potrf","parsec","parsec:gd",40000,500,1054.8497
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"potrf","parsec","parsec:lfq",50000,500,942.86176
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"potrf","starpu","starpu:dmda",40000,500,991.39325
"poti","poti (RTX 4070) - FP64 | pico GPU 458 GF",458,"potrf","starpu","starpu:dmdas",40000,500,990.76691
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"getrf_nopiv","parsec","parsec:gd",80000,5000,5774.8744
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"getrf_nopiv","parsec","parsec:lfq",80000,5000,6432.1654
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"getrf_nopiv","starpu","starpu:dmda",80000,5000,13189.412
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"getrf_nopiv","starpu","starpu:dmdas",80000,3200,14929.132
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"potrf","parsec","parsec:gd",80000,4000,7710.3782
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"potrf","parsec","parsec:lfq",80000,5000,7949.0062
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"potrf","starpu","starpu:dmda",80000,3200,14505.146
"poti","poti (RTX 4070) - FP32 | pico GPU 29.3 TF",29300,"potrf","starpu","starpu:dmdas",80000,3200,14688.72
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"getrf_nopiv","parsec","parsec:gd",40000,2000,1611.4454
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"getrf_nopiv","parsec","parsec:lfq",40000,2000,1577.8392
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"getrf_nopiv","starpu","starpu:dmda",40000,1000,1798.4428
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"getrf_nopiv","starpu","starpu:dmdas",40000,1000,1837.0244
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"potrf","parsec","parsec:gd",40000,2000,1465.8298
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"potrf","parsec","parsec:lfq",40000,2000,1409.6802
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"potrf","starpu","starpu:dmda",40000,1000,1757.6151
"tupi","tupi (RTX 4090) - FP64 | pico GPU 1.3 TF",1290,"potrf","starpu","starpu:dmdas",40000,1000,1756.0964
